                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1509,                 4.2312,                 3.6333,                0.12059,                0.07264,                0.04325,                0.01455,                 2.6656,                 4.0812,                 3.0814,              0.0004758,              0.0004758,              0.0004758
                      2,                 2.5009,                 3.4343,                 2.8378,                0.15156,                0.15208,                0.09639,                0.04396,                 2.2687,                 3.6202,                  2.735,               0.000905,               0.000905,               0.000905
                      3,                 2.2107,                 3.0264,                 2.5356,                0.27088,                0.24424,                0.19506,                0.08464,                 2.1136,                 2.9285,                 2.4814,               0.001287,               0.001287,               0.001287
                      4,                 2.0697,                 2.7644,                 2.3439,                0.42172,                0.28225,                0.27086,                0.13527,                 1.9559,                 2.6328,                 2.3109,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.9933,                 2.6206,                   2.25,                0.38625,                0.30405,                0.27449,                 0.1361,                 1.9326,                 2.5326,                 2.2867,              0.0012168,              0.0012168,              0.0012168
                      6,                 1.9298,                 2.4909,                 2.1768,                0.43039,                0.35723,                0.35098,                0.18463,                 1.8675,                 2.3268,                 2.2321,              0.0011461,              0.0011461,              0.0011461
                      7,                  1.881,                 2.3801,                 2.1162,                0.48181,                0.38193,                0.37215,                0.19034,                 1.8705,                 2.2051,                 2.1615,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.8307,                 2.2541,                 2.0662,                0.52054,                0.41137,                0.40416,                0.21765,                 1.7969,                 2.1465,                 2.0876,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.7982,                 2.2038,                 2.0438,                0.48561,                0.41441,                0.41949,                0.21237,                 1.8165,                 2.1407,                  2.124,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.7789,                 2.1068,                 2.0027,                0.53478,                 0.4391,                0.44212,                0.23882,                 1.7666,                 2.0904,                 2.0943,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.7189,                 1.9287,                 2.0252,                0.58182,                0.43229,                0.47734,                0.26532,                 1.7271,                  1.903,                 2.0376,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.6721,                 1.8127,                 1.9758,                0.62607,                0.45506,                0.50516,                0.26817,                 1.7561,                 1.8781,                 2.0309,             0.00072164,             0.00072164,             0.00072164
                     13,                  1.656,                 1.7503,                 1.9467,                0.61311,                0.50489,                0.54327,                0.30292,                 1.6659,                 1.7541,                 1.9402,             0.00065091,             0.00065091,             0.00065091
                     14,                  1.618,                 1.6974,                 1.9035,                0.69446,                0.48758,                 0.5395,                 0.3002,                 1.6883,                 1.8556,                 1.9449,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.6052,                 1.6311,                 1.8862,                0.65309,                0.49925,                0.55505,                0.31104,                 1.6665,                 1.7623,                 1.9218,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.5751,                 1.5752,                 1.8575,                0.67824,                0.50908,                0.57933,                0.33195,                 1.6502,                 1.6176,                 1.9123,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.5527,                 1.5221,                 1.8425,                0.67851,                0.52892,                0.59025,                0.33782,                 1.6248,                 1.6094,                 1.9057,             0.00036797,             0.00036797,             0.00036797
                     18,                 1.5394,                  1.484,                 1.8296,                0.66891,                0.54769,                0.59738,                0.34846,                 1.6026,                 1.5768,                 1.8832,             0.00029723,             0.00029723,             0.00029723
                     19,                 1.5179,                 1.4265,                 1.7984,                0.67908,                0.55656,                0.61055,                0.35261,                 1.5984,                 1.5323,                 1.8804,              0.0002265,              0.0002265,              0.0002265
                     20,                  1.493,                  1.383,                 1.7792,                0.67552,                0.55733,                0.61382,                0.35265,                 1.6049,                 1.5092,                  1.871,             0.00015576,             0.00015576,             0.00015576
